steam_id,display_name,internal_name,version,translators,note
2988685523,Configurable Starter Bag,StarterBag,3.0.0,Hurugitune,
2864843929,Consolaria,Consolaria,2.1.1,Hurugitune,全て翻訳済み。ほとんど推敲済み。一部重大なバグがあるアイテムがあったので注意書きを追加。修正され次第削除。
2829306780,CoolerItemVisualEffect,CoolerItemVisualEffect,0.1.19.10,Hurugitune,
3105633551,Corruption Core Boss,CorruptionBoss,1.1.0.3,ぽぷのべり,
3331547573,Coyote frames,Coyoteframes,1.5,ぽぷのべり,
3423180893,Damage Rank,BossDamageTracker,1.2.9,ぽぷのべり,
2866829130,Dancing With The Dragon,DancingWithTheDragon,0.48,ぽぷのべり,
2563815443,Dialogue Panel Rework,DialogueTweak,1.5.9,Hurugitune,すべて翻訳済み
2589338274,Difficulty Editor,x1526modDifficultBuff,1.0.1.6,ぽぷのべり,
3009011436,Disable Meteor Dropping,DisableMeteors,1.0.1,ぽぷのべり,
3016598408,Disable shop conditions!,DisableShopConditions,1.0.0,ぽぷのべり,
2824854732,Discordya - Discord Rich Presence,Discordya,1.0.6.1,Hurugitune,全て翻訳済み
2939737748,DragonLens,DragonLens,1.9.2.1,Hurugitune,
3231435221,Dtboss' no friendly projectiles,DtbsNoProjectiles,1.2,Hurugitune,すべて翻訳済み
3475842872,Dynamic Zoom,KirillandDynamicZoom,1.2,ぽぷのべり,
3415023899,Ebonian Mod,EbonianMod,1.1.2,パイナポーよし子（機械翻訳＋下地作成）、Hurugitune（意訳・修正）,仮翻訳
3174344764,Elemental Hearts Revived,ElementalHeartsRevivedMod,1.14,ぽぷのべり,
3030483105,Enchanted Moons,BlueMoon,2.0.0,ぽぷのべり,
2836321449,Exotic Life Fruits,ExoticFruits,1.6.3,ぽぷのべり,
2925134686,Expanded Inventory,ExpandedInventory,0.4.1,ぽぷのべり,
2990396828,Extended Equipment Loadouts,ExtraLoadouts,1.4.1,ぽぷのべり,
2797773802,Extra Pylons,ExtraPylons,0.6.0.3,まめ,
3441138805,Fallout Weaponry - Cola and Caps Update!,fallout,1.1,Hurugitune,
2822950837,Fancy Lighting,FancyLighting,0.9.14,ぽぷのべり,
3070430423,Fancy Whips,FancyWhips,1.1,ぽぷのべり,
2802867430,Fargo's Best of Both Worlds,FargoSeeds,0.5.2,まめ,
2567580488,Fargo's Enemy Modifiers,FargoEnemyModifiers,0.6.1,ponzu_ika,推定バージョンを記載(eva828)
2567152289,Fargo's Fallen Stars,StarHell,2.2,ぽぷのべり,
2803697863,Fargo's Loot Bonus,LootBonus,5.0,ぽぷのべり,
3464463610,Fargo's Mod Clickers,FargoClickers,1.0.3,ogatass,
2570931073,Fargo's Mutant Mod,Fargowiltas,3.3.6.1,katudonsan、ogatass,
2906451681,Fargo's Soul Mod Extras,FargowiltasSoulsDLC,0.6.2,ogatass,
2815540735,Fargo's Souls Mod,FargowiltasSouls,1.7.2.14,katudonsan、ogatass,全て翻訳済み
3363584271,Final Fantasy Vanities,FinalFantasyVanities,0.1.2,ogatass,
2981752535,Fish Guns+,FishGunsPlus,3.9,まめ,
3164271154,Flail Rework Mod,FlailMod,1.1.7,ぽぷのべり,
3141716573,Generated Housing,SpawnHouses,1.0.15,ぽぷのべり,
2817254924,Gensokyo,Gensokyo,0.14.1.2,raikki77、ぽぷのべり(修正・更新対応),大きめの意訳がある部分はコメントを残しています。
3065959410,Guiding Fairy (Light Pet),RareEnemyPet,1.0,ぽぷのべり,
2799797838,Gunsword Slime,HostiumProelium,1.0.111111,ぽぷのべり,
3311481926,Hamaxe of Regrowth,AcornHamaxe,0.2,まめ,
3407659144,Hardmode Shortswords,HardmodeShortswords,1.1,ぽぷのべり,
2853619836,Heart Crystal & Life Fruit Glow,LifeSourcesLight,1.2.0,ぽぷのべり,
3360278192,Hedgehog Critter,HedgehogCritter,1.1.1,ぽぷのべり,
2817545194,Helpful NPCs,HelpfulNPCs,2.2.2,まめ,
3119712528,High FPS Support,HighFPSSupport,0.6.6.3,まめ,
3327581209,Homura,Homura,0.1.4,ぽぷのべり,
2564503881,HP Awareness,HPAware,1.0.3.4,Hurugitune,全て翻訳済み
3298019597,I need more vanity,INeedMore,0.1.1,ぽぷのべり,
2828041071,imkSushi's Mod,imkSushisMod,5.1.3,hazamax405,
2816557864,Improved Movement Visuals,LookMod,1.3.4,ぽぷのべり,
2817952707,Improved Teleporters,ImprovedTeleporters,1.2,ぽぷのべり,
3001536716,In-game Translate (Supports both v1.4.4 and v1.4.3),MachineTranslate,1.0,Hurugitune,すべて翻訳済み
3015416182,Infernum Mode Music,InfernumModeMusic,2.0.1.2,Hurugitune,全て翻訳済み
3251592253,Inventory Drag,InventoryDrag,1.1.0,ぽぷのべり,
3006784849,IPv6 Multiplayer Support,IPv6Mapper,2.0,ぽぷのべり,
2866111868,Item Checklist,ItemChecklist,0.7,HAKU,
2922358421,Item Display Base,DisplayBase,0.9,ぽぷのべり,
2997692373,Jungle Bosses Rework,GolemRework,0.12.6,ぽぷのべり,
2837407674,Lan's Unlimited Buff Slots,LansUnlimitedBuffSlots,2023.8.1.1,katudonsan,
2817795758,Lighting Essentials,LightingEssentials,1.3.9,ぽぷのべり,
2670628346,Lights And Shadows,Lights,1.4.2,ぽぷのべり,
3019394991,LogSpiral's Library,LogSpiralLibrary,0.1.3.9,Hurugitune,
2847872897,Loot Beams,LootBeams,1.9.3,ぽぷのべり,
3281805198,Low Health Effects,LowHealthEffects,1.0.4,Hurugitune,全て翻訳済み。推敲途中。
2831752947,LuiAFK Reborn,miningcracks_take_on_luiafk,1.2.4,katudonsan,翻訳完了(Hurugitune) 推定バージョンを記載(eva828)
3018345579,LuiAFK Reborn DLC,UnofficialLuiAFKDLC,1.4.4.5,Hurugitune,
3222493606,Luminance,Luminance,1.0.9,katudonsan,翻訳完了
3069195391,Lures Display Bait,LureBaitDisplay,1.0.3,ぽぷのべり,
3024322683,Magic Builder,MagicBuilder,1.4.4.12,ぽぷのべり,
2563309347,Magic Storage,MagicStorage,0.6.0.3,hazamax405,
3441211221,Map World View,MapWorldVIew,1.3.3,ぽぷのべり,
2565505925,Max Luck,MaxLuck,1.5,まめ,
3430027346,MechTransfer,MechTransfer,1.8,ぽぷのべり,
3126942817,Microdungeons And More - A Worldgen Mod,WorldGenMod,1.1.2,ぽぷのべり,
3429597170,Miku'N'Stuff,Cutesy,0.2.4,ぽぷのべり,
3299699015,Mod Folder System,ModFolder,0.4.0,Hurugitune,バージョン更新有り、一部設定項目が未翻訳(popunoberi)
3430489229,Mole Mod,MoleMod,0.2,ぽぷのべり,
2861550387,More Critters,MoreCritters,0.5.4,ぽぷのべり,
3426634279,More drill,moredrill,0.6,ぽぷのべり,
3250847935,More Flamethrowers,nightlightflamethrowers,1.0,ぽぷのべり,
3172265412,More ore slime,L2M,1.0,ぽぷのべり,
2838398781,More Platforms,MorePlatforms,1.7.1,ぽぷのべり,
3055650186,More Portable Storages,MorePortableStorages,1.0.0,ぽぷのべり,
2974503494,More Pylons,EvilPylon,2.2,ぽぷのべり,
3275032535,More Signs,MoreSigns,0.9.4.1,ぽぷのべり,
3270713500,More Town Slimes,MoreTownSlimes,0.2.1,ぽぷのべり,
3377813324,MoreWhipClassic,MoreWhipClassic,1.5.2,ぽぷのべり,
2621278406,MoreZenithItems,MoreZenith,1.4.2,katudonsan、ogatass,
3312585151,Multiplayer Cursors,MultiplayerCursors,1.1.2,ぽぷのべり,
2795036823,Multiple Lures,MultipleLures,1.4,ぽぷのべり,
3312725122,Munchies - Calamity Addon,Munchies_CalamityAddon,1.3.1,ぽぷのべり,
3310041861,Munchies - Consumables Checklist,Munchies,1.4.2,まめ,
2910253435,New Beginnings,NewBeginnings,1.2.0.6,Hurugitune,仮翻訳
3112814055,Nitrate,Nitrate,0.3.4,ぽぷのべり,
2835407664,No More Tombs,NoMoreTombs,2.1,ぽぷのべり,
3436253565,Not Quite Nitrate (Performance and Bug Fixes),NotQuiteNitrate,1.0.6,ぽぷのべり,
2565611547,NPC Name Display,NPCNameDisplay,1.4.4.9,ぽぷのべり,
3293218222,Off Hand Slot,OffHandidiotmod,4.4,まめ,
2939093580,Orchid Mineshaft,OrchidMineshaft,1.2.5,まめ,
2565639705,Ore Excavator,OreExcavator,0.8.9,Hurugitune,仮翻訳
2562921545,PetRenamer,PetRenamer,1.3.0.4,ぽぷのべり,
2877898368,Petrified Voodoo Doll,PetrifiedVoodooDoll,1.2.1,ぽぷのべり,
2803799129,Pings,Pings,0.3.0.3,Hurugitune,すべて翻訳済み
3100266524,Pizza Progression,PizzaProgression,1.200,ぽぷのべり,
3451346666,Player Interaction,Playerinteraction,0.3,Hurugitune,
2806899404,Player Swap,PlayerSwapper,0.4,ぽぷのべり,
3388238397,Pokemon Pets,PokemonPetsMod,0.5.1,ぽぷのべり,
3440142626,Power Pebbles,PowerPebbles,1.2.0,ぽぷのべり,
2820025575,Pylons Prevent Evils,PylonShield,1.9.1,ぽぷのべり,
2797518634,Quality of Terraria,ImproveGame,1.8.1.1,hazamax405 Hurugitune,
3419141018,Quite Enough Recipes,QuiteEnoughRecipes,1.2.3,ぽぷのべり,
3114886209,Ragnarok,RagnarokMod,1.4.3.2,Hurugitune,全て翻訳済み。ほとんど推敲済み。
2981525206,Rain Overhaul,RainOverhaul,1.7,ぽぷのべり,
3400340796,Rare Drop Notification,RareDropNotification,1.6.2,HAKU、ぽぷのべり(バージョン更新対応),
3172916251,Realistic Sky,RealisticSky,1.0.24,ぽぷのべり,
2619954303,Recipe Browser,RecipeBrowser,0.10.3,sysnote8,推定バージョンを記載(eva828)
3451139077,Recipe Viewer,MultiCrafting,1.2.2,Hurugitune,
3301034468,Remember To Drink Water!,DrinkWater,0.1,Hurugitune,全て翻訳済み
2861542679,Remnants,Remnants,1.5.49,Hurugitune,
3168223097,Roommates,Roommates,3.2.0.1,ぽぷのべり,
2975417797,Shared Health,CombinedHealth,1.3.0,Hurugitune,すべて翻訳済み
2815010161,Shared World Map,SharedMap,0.1.4.3,Hurugitune,すべて翻訳済み
2925184535,Shirasagi's VOICEROID Skin Mod,ShirasagiMod,2.0.2,ぽぷのべり,
2828370879,Shop Expander,ShopExpander,1.8.0,Hurugitune,すべて翻訳済み
2562997415,Shorter Respawn Time,ShorterRespawn,1.2,katudonsan、ぽぷのべり（バージョン更新対応）,
2833811736,Shortswords+,MoreShortswords,1.4.2,ぽぷのべり,
3478100653,Show Environmental Buffs Range,ShowEnvBuffsRange,1.1,ぽぷのべり,
3363174578,Simple NPC Customizer,SimpleNPCStats2,2.2.7,ぽぷのべり,
3260734079,Snow Golem Mod,Snowman,1.2,ぽぷのべり,
3138615548,Spear Rework Mod,SpearMod,1.0.2,ぽぷのべり,
3449149200,Spirit Music Mod,SpiritMusic,1.0.0.3,ぽぷのべり,
3449158983,Spirit Reforged,SpiritReforged,0.1.1.1,ぽぷのべり,
2833852432,Spooky Mod,Spooky,1.2.8.1,ぽぷのべり,
3406799926,Stamina Management,stamina_management,0.7.5,ぽぷのべり,
3273327692,Starting Class Weapons,StartingClassWeapons,0.1.7,Hurugitune,全て翻訳済み。推敲済み。(Taccom368)
2979448082,Summoner UI (Latest Stable Release),SummonsUI,1.3.3,Hurugitune,全て翻訳済み。推敲済み。(Taccom368)
2563098343,Team Spectate,TeamSpectate,2.6.2,katudonsan,済
2789237440,Teleport All NPC Home,TownNPCHome,1.4,ぽぷのべり,
2799559538,Terrarchitect,Terrarchitect,1.7.0.1,ぽぷのべり,
2811803870,Terraria Overhaul (Configuration Update!),TerrariaOverhaul,5.0.0.38,まめ,
3418805352,TerraTCG,TerraTCG,1.2.0,katudonsan,すべて翻訳済み
3309069289,Teto Vanity Sets - Now with Kasane Teto NPC!,TetoVanitySets,1.40,ぽぷのべり,
2563277843,The Clicker Class,ClickerClass,1.4.1.2,ぽぷのべり(下地作成)、ogatass(意訳・修正),
3219030425,The Spotlight - 聚光灯,Spotlight,1.0.2,ぽぷのべり,
2563862309,The Stars Above,StarsAbove,2.1.3.0,ユウ,バージョン更新有り、一部未翻訳(popunoberi)
3070717963,Thorium Bosses Reworked,ThoriumRework,0.9.4,Hurugitune,バージョン更新有り、一部未翻訳(popunoberi)
2909886416,Thorium Mod,ThoriumMod,1.7.2.3,Hurugitune,ブロック以外は全て翻訳済み。ほとんど推敲済み。
2852468240,Today's weather: It's arrow-y,ArrowRain,1.2.0,ぽぷのべり,
2789445751,Tokens,Tokens,1.6.1,ぽぷのべり,
3014421997,True Tooltips,TrueTooltips,2025.4.24.1,TwelveYO21,翻訳完了。
3204367087,Ultimate Skyblock,UltimateSkyblock,2.7.1,ぽぷのべり,
3296980619,UMP45 the gun seller,ump45,0.3,ぽぷのべり,
3123513619,Underground Mana Crystals,CaveMana,1.1.2,ぽぷのべり,
2618902706,Unlimited Fishing Quests,UnlimitedFishingQuests,1.2.1,ぽぷのべり,
3142064272,Unofficial Calamity Bard & Healer,CalamityBardHealer,0.9.7,Hurugitune,
2839001756,Unofficial Calamity Whips,UnofficialCalamityWhips,1.1.6,hazamax405,
3171414096,Unofficial Thorium Calamity Lore Items,ThoriumLore,1.8,Hurugitune,
2816188633,Vanilla Calamity Mod Music,UnCalamityModMusic,2.0.0.1,Hurugitune,全て翻訳済み
3359066088,Vanilla+ Fox Critter,YourModFox,1.2.2,ぽぷのべり,
2871665851,Verdant,Verdant,1.2.6.8,まめ,
3455924006,WeaponOut Lite: An Item Holding Mod,WeaponOutLite,1.0.1,Hurugitune,
2827634634,Where's My Items,WheresMyItems,0.7.0.2,ぽぷのべり,
2563851005,Which Mod Is This From? (WMITF),WMITF,2.7.1,katudonsan,
2597324266,Wing Slot Extra,WingSlotExtra,1.4.4,ぽぷのべり,
3006139970,Wing Time UI,WingTimeUI,0.1.4.1,ぽぷのべり,
2614858363,Wireless,Wireless,1.6.1,mori (new),すべて翻訳済み
2877696929,Wombat's General Improvements,WombatQOL,1.3.10.4,Hurugitune,
2858293378,World Country Flags,WorldFlags,1.2,ぽぷのべり,
3038043971,World Link,WorldLink,1.2,ぽぷのべり,
3462244895,World Map Housing,RemoteNPCHousing,1.0.1,ぽぷのべり,
2843258712,WorldGen Previewer,WorldGenPreviewer,0.8,ぽぷのべり,
2825008228,ZeroX's Combat HUDs,ZeroXHUD,0.2.4.2,Hurugitune,すべて翻訳済み
2844551824,[Closed] WitherTaco`s Clicker Addon,ClickerAddonOfficial,2.1,ogatass,
2973922820,东方小伙伴 ~ Adventure with cute partners,TouhouPets,1.1.4.3,ぽぷのべり（機械翻訳＋下地作成）、Hurugitune（意訳・修正）,
2812108605,积分商店 Point Shop,PointShop,2.0.5.2,ぽぷのべり,
3439980996,积分商店（扩展版）,积分商店扩展,0.0.2,ぽぷのべり,
